multiplicity,wyckoff_letter,site_symmetry,coordinates
48,j,1,"(x,y,z)"
24,i,..2,"(1/4,y,-y+1/2)"
24,h,..2,"(0,y,y)"
24,g,2..,"(x,1/2,0)"
16,f,.3.,"(x,x,x)"
12,e,4..,"(x,0,0)"
12,d,2.2 2,"(1/4,1/2,0)"
8,c,.32,"(1/4,1/4,1/4)"
6,b,42. 2,"(0,1/2,1/2)"
2,a,432,"(0,0,0)"
