multiplicity,wyckoff_letter,site_symmetry,coordinates
192,h,1,"(x,y,z)"
96,g,..2,"(1/4,y,-y)"
96,f,2..,"(x,1/8,1/8)"
64,e,.3.,"(x,x,x)"
48,d,-4..,"(7/8,1/8,1/8)"
32,c,.-3.,"(0,0,0)"
32,b,.32,"(1/4,1/4,1/4)"
16,a,23.,"(1/8,1/8,1/8)"
