multiplicity,wyckoff_letter,site_symmetry,coordinates
16,k,1,"(x,y,z)"
8,j,.2.,"(x,3/4,1/4)"
8,i,.2.,"(x,1/4,1/4)"
8,h,..2,"(x,x,1/4)"
8,g,2..,"(1/4,3/4,z)"
8,f,-1,"(0,0,0)"
4,e,4..,"(1/4,1/4,z)"
4,d,-4..,"(1/4,3/4,0)"
4,c,222 .,"(1/4,3/4,3/4)"
2,b,422,"(1/4,1/4,3/4)"
2,a,422,"(1/4,1/4,1/4)"
