multiplicity,wyckoff_letter,site_symmetry,coordinates
16,p,1,"(x,y,z)"
8,o,..m,"(x,x,z)"
8,n,m..,"(x,y,0)"
8,m,.2.,"(x,1/2,1/4)"
8,l,.2.,"(x,0,1/4)"
8,k,2..,"(0,1/2,z)"
4,j,m.2 m,"(x,x,1/2)"
4,i,m.2 m,"(x,x,0)"
4,h,2.m m,"(1/2,1/2,z)"
4,g,2.m m,"(0,0,z)"
4,f,2/m..,"(0,1/2,0)"
4,e,222 .,"(0,1/2,1/4)"
2,d,-42m,"(1/2,1/2,1/4)"
2,c,m.m m,"(1/2,1/2,0)"
2,b,-42m,"(0,0,1/4)"
2,a,m.m m,"(0,0,0)"
