multiplicity,wyckoff_letter,site_symmetry,coordinates
24,l,1,"(x,y,z)"
12,k,..m,"(x,0,z)"
12,j,m..,"(x,y,1/4)"
12,i,..2,"(x,2x,0)"
8,h,3..,"(1/3,2/3,z)"
6,g,m2m,"(x,0,1/4)"
6,f,..2/m,"(1/2,0,0)"
4,e,3.m,"(0,0,z)"
4,d,3.2,"(1/3,2/3,0)"
4,c,-6..,"(1/3,2/3,1/4)"
2,b,-3.m,"(0,0,0)"
2,a,-62m,"(0,0,1/4)"
