multiplicity,wyckoff_letter,site_symmetry,coordinates
2,e,1,"(x,y,z)"
1,d,2,"(1/2,y,1/2)"
1,c,2,"(1/2,y,0)"
1,b,2,"(0,y,1/2)"
1,a,2,"(0,y,0)"
