multiplicity,wyckoff_letter,site_symmetry,coordinates
16,e,1,"(x,y,z)"
8,d,.2.,"(x,1/4,1/8)"
8,c,2..,"(0,0,z)"
4,b,-4..,"(0,0,1/2)"
4,a,-4..,"(0,0,0)"
