multiplicity,wyckoff_letter,site_symmetry,coordinates
96,h,1,"(x,y,z)"
48,g,..2,"(1/8,y,-y+1/4)"
48,f,2..,"(x,0,0)"
32,e,.3.,"(x,x,x)"
16,d,.32,"(5/8,5/8,5/8)"
16,c,.32,"(1/8,1/8,1/8)"
8,b,23.,"(1/2,1/2,1/2)"
8,a,23.,"(0,0,0)"
