multiplicity,wyckoff_letter,site_symmetry,coordinates
36,f,1.0,"(x,y,z)"
18,e,0.2,"(x,0,1/4)"
18,d,-1.0,"(1/2,0,0)"
12,c,3.0,"(0,0,z)"
6,b,-3.0,"(0,0,0)"
6,a,32.0,"(0,0,1/4)"
