multiplicity,wyckoff_letter,site_symmetry,coordinates
24,m,1,"(x,y,z)"
12,l,m..,"(x,y,0)"
12,k,..2,"(x,2x,1/4)"
12,j,.2.,"(x,0,1/4)"
12,i,2..,"(1/2,0,z)"
8,h,3..,"(1/3,2/3,z)"
6,g,2/m..,"(1/2,0,0)"
6,f,222,"(1/2,0,1/4)"
4,e,6..,"(0,0,z)"
4,d,-6..,"(1/3,2/3,0)"
4,c,3.2,"(1/3,2/3,1/4)"
2,b,6/m..,"(0,0,0)"
2,a,622,"(0,0,1/4)"
