multiplicity,wyckoff_letter,site_symmetry,coordinates
16,e,1,"(x,y,z)"
8,d,.m.,"(x,0,z)"
8,c,m..,"(0,y,z)"
8,b,..2,"(1/4,1/4,z)"
4,a,mm2,"(0,0,z)"
