multiplicity,wyckoff_letter,site_symmetry,coordinates
96,h,1,"(x,y,z)"
48,g,2..,"(x,1/4,1/4)"
48,f,2..,"(x,0,0)"
32,e,.3.,"(x,x,x)"
24,d,-4..,"(1/4,0,0)"
24,c,-4..,"(0,1/4,1/4)"
8,b,23.,"(1/4,1/4,1/4)"
8,a,23.,"(0,0,0)"
