multiplicity,wyckoff_letter,site_symmetry,coordinates
24,e,1,"(x,y,z)"
12,d,..2,"(1/8,y,-y+1/4)"
8,c,.3.,"(x,x,x)"
4,b,.32,"(5/8,5/8,5/8)"
4,a,.32,"(1/8,1/8,1/8)"
