multiplicity,wyckoff_letter,site_symmetry,coordinates
48,l,1,"(x,y,z)"
24,k,m..,"(0,y,z)"
24,j,..2,"(1/4,y,y+1/2)"
16,i,.3.,"(x,x,x)"
12,h,mm2 . .,"(x,1/2,0)"
12,g,mm2 . .,"(x,0,1/2)"
12,f,mm2 . .,"(x,0,0)"
8,e,.32,"(1/4,1/4,1/4)"
6,d,-4m. 2,"(1/4,1/2,0)"
6,c,-4m. 2,"(1/4,0,1/2)"
6,b,mmm . .,"(0,1/2,1/2)"
2,a,m-3.,"(0,0,0)"
