multiplicity,wyckoff_letter,site_symmetry,coordinates
12,l,1,"(x,y,z)"
6,k,m..,"(x,y,1/4)"
6,j,..2,"(x,-x,0)"
4,i,3..,"(2/3,1/3,z)"
4,h,3..,"(1/3,2/3,z)"
4,g,3..,"(0,0,z)"
2,f,-6..,"(2/3,1/3,1/4)"
2,e,3.2,"(2/3,1/3,0)"
2,d,-6..,"(1/3,2/3,1/4)"
2,c,3.2,"(1/3,2/3,0)"
2,b,-6..,"(0,0,1/4)"
2,a,3.2,"(0,0,0)"
