multiplicity,wyckoff_letter,site_symmetry,coordinates
8,h,1,"(x,y,z)"
4,g,..m,"(x,y,0)"
4,f,..2,"(0,1/2,z)"
4,e,..2,"(0,0,z)"
2,d,..2/m,"(0,1/2,1/2)"
2,c,..2/m,"(0,1/2,0)"
2,b,..2/m,"(0,0,1/2)"
2,a,..2/m,"(0,0,0)"
