multiplicity,wyckoff_letter,site_symmetry,coordinates
24,i,1,"(x,y,z)"
12,h,2..,"(x,0,1/2)"
12,g,2..,"(x,1/2,0)"
12,f,2..,"(x,0,0)"
8,e,.3.,"(x,x,x)"
6,d,-4..,"(1/4,0,1/2)"
6,c,-4..,"(1/4,1/2,0)"
6,b,222 . .,"(0,1/2,1/2)"
2,a,23.,"(0,0,0)"
