multiplicity,wyckoff_letter,site_symmetry,coordinates
96,h,1,"(x,y,z)"
48,g,..2,"(1/8,y,-y+1/4)"
48,f,2..,"(x,0,1/4)"
32,e,.3.,"(x,x,x)"
24,d,-4..,"(3/8,0,1/4)"
24,c,2.2 2,"(1/8,0,1/4)"
16,b,.32,"(1/8,1/8,1/8)"
16,a,.-3.,"(0,0,0)"
