multiplicity,wyckoff_letter,site_symmetry,coordinates
6,l,1,"(x,y,z)"
3,k,..2,"(x,-x,1/2)"
3,j,..2,"(x,-x,0)"
2,i,3..,"(2/3,1/3,z)"
2,h,3..,"(1/3,2/3,z)"
2,g,3..,"(0,0,z)"
1,f,3.2,"(2/3,1/3,1/2)"
1,e,3.2,"(2/3,1/3,0)"
1,d,3.2,"(1/3,2/3,1/2)"
1,c,3.2,"(1/3,2/3,0)"
1,b,3.2,"(0,0,1/2)"
1,a,3.2,"(0,0,0)"
