multiplicity,wyckoff_letter,site_symmetry,coordinates
16,i,1,"(x,y,z)"
8,h,m..,"(x,y,0)"
8,g,..2,"(x,x+1/2,1/4)"
8,f,2..,"(0,1/2,z)"
4,e,4..,"(0,0,z)"
4,d,2.2 2,"(0,1/2,1/4)"
4,c,2/m..,"(0,1/2,0)"
2,b,4/m..,"(0,0,1/2)"
2,a,4/m..,"(0,0,0)"
