multiplicity,wyckoff_letter,site_symmetry,coordinates
8,o,1,"(x,y,z)"
4,n,..m,"(x,x,z)"
4,m,2..,"(0,1/2,z)"
4,l,.2.,"(x,1/2,0)"
4,k,.2.,"(x,0,1/2)"
4,j,.2.,"(x,1/2,1/2)"
4,i,.2.,"(x,0,0)"
2,h,2.m m,"(1/2,1/2,z)"
2,g,2.m m,"(0,0,z)"
2,f,222 .,"(1/2,0,1/2)"
2,e,222 .,"(1/2,0,0)"
1,d,-42m,"(1/2,1/2,0)"
1,c,-42m,"(0,0,1/2)"
1,b,-42m,"(1/2,1/2,1/2)"
1,a,-42m,"(0,0,0)"
