multiplicity,wyckoff_letter,site_symmetry,coordinates
24,f,1,"(x,y,z)"
12,e,2..,"(x,1/2,0)"
12,d,2..,"(x,0,0)"
8,c,.3.,"(x,x,x)"
6,b,222 . .,"(0,1/2,1/2)"
2,a,23.,"(0,0,0)"
