multiplicity,wyckoff_letter,site_symmetry,coordinates
48,i,1,"(x,y,z)"
24,h,..2,"(1/4,y,y)"
24,g,2..,"(x,3/4,1/4)"
16,f,.3.,"(x,x,x)"
12,e,4..,"(x,1/4,1/4)"
12,d,-4..,"(0,3/4,1/4)"
8,c,.-3.,"(0,0,0)"
6,b,42. 2,"(3/4,1/4,1/4)"
2,a,432,"(1/4,1/4,1/4)"
