multiplicity,wyckoff_letter,site_symmetry,coordinates
48,n,1,"(x,y,z)"
24,m,..m,"(x,x,z)"
24,l,m..,"(1/2,y,z)"
24,k,m..,"(0,y,z)"
12,j,m.m 2,"(1/2,y,y)"
12,i,m.m 2,"(0,y,y)"
12,h,mm2 . .,"(x,1/2,0)"
8,g,.3m,"(x,x,x)"
6,f,4m. m,"(x,1/2,1/2)"
6,e,4m. m,"(x,0,0)"
3,d,4/mm. m,"(1/2,0,0)"
3,c,4/mm. m,"(0,1/2,1/2)"
1,b,m-3m,"(1/2,1/2,1/2)"
1,a,m-3m,"(0,0,0)"
