multiplicity,wyckoff_letter,site_symmetry,coordinates
12,d,1,"(x,y,z)"
6,c,.m.,"(x,-x,z)"
2,b,3m.,"(1/3,2/3,z)"
2,a,3m.,"(0,0,z)"
