multiplicity,wyckoff_letter,site_symmetry,coordinates
16,j,1,"(x,y,z)"
8,i,..m,"(x,x,z)"
8,h,2..,"(0,1/2,z)"
8,g,.2.,"(x,0,1/2)"
8,f,.2.,"(x,0,0)"
4,e,2.m m,"(0,0,z)"
4,d,-4..,"(0,1/2,1/4)"
4,c,222 .,"(0,1/2,0)"
2,b,-42m,"(0,0,1/2)"
2,a,-42m,"(0,0,0)"
