multiplicity,wyckoff_letter,site_symmetry,coordinates
16,i,1,"(x,y,z)"
8,h,..2,"(x,x+1/2,0)"
8,g,2..,"(0,1/2,z)"
8,f,2..,"(0,0,z)"
8,e,..2,"(x,x,1/4)"
4,d,2.2 2,"(0,1/2,0)"
4,c,-4..,"(0,1/2,1/4)"
4,b,-4..,"(0,0,0)"
4,a,2.2 2,"(0,0,1/4)"
