multiplicity,wyckoff_letter,site_symmetry,coordinates
16,g,1,"(x,y,z)"
8,f,..2,"(x,-x,1/4)"
8,e,2..,"(3/4,1/4,z)"
8,d,-1,"(0,0,0)"
4,c,4..,"(1/4,1/4,z)"
4,b,-4..,"(3/4,1/4,0)"
4,a,2.2 2,"(3/4,1/4,1/4)"
