multiplicity,wyckoff_letter,site_symmetry,coordinates
16,i,1,"(x,y,z)"
8,h,..2,"(1/4,0,z)"
8,g,..2,"(0,1/4,z)"
8,f,.2.,"(0,y,1/4)"
8,e,2..,"(x,1/4,1/4)"
8,d,-1,"(0,0,0)"
8,c,-1,"(1/4,3/4,0)"
4,b,222,"(0,1/4,3/4)"
4,a,222,"(0,1/4,1/4)"
