multiplicity,wyckoff_letter,site_symmetry,coordinates
8,l,1,"(x,y,z)"
4,k,m..,"(1/4,y,z)"
4,j,.m.,"(x,1/2,z)"
4,i,.m.,"(x,0,z)"
4,h,.2.,"(0,y,1/2)"
4,g,.2.,"(0,y,0)"
2,f,mm2,"(1/4,1/2,z)"
2,e,mm2,"(1/4,0,z)"
2,d,.2/m.,"(0,1/2,1/2)"
2,c,.2/m.,"(0,0,1/2)"
2,b,.2/m.,"(0,1/2,0)"
2,a,.2/m.,"(0,0,0)"
