multiplicity,wyckoff_letter,site_symmetry,coordinates
8,l,1,"(x,y,z)"
4,k,m..,"(x,y,1/2)"
4,j,m..,"(x,y,0)"
4,i,2..,"(0,1/2,z)"
2,h,4..,"(1/2,1/2,z)"
2,g,4..,"(0,0,z)"
2,f,2/m..,"(0,1/2,1/2)"
2,e,2/m..,"(0,1/2,0)"
1,d,4/m..,"(1/2,1/2,1/2)"
1,c,4/m..,"(1/2,1/2,0)"
1,b,4/m..,"(0,0,1/2)"
1,a,4/m..,"(0,0,0)"
