multiplicity,wyckoff_letter,site_symmetry,coordinates
48,l,1,"(x,y,z)"
24,k,..m,"(x,x,z)"
24,j,..2,"(1/2,y,-y)"
24,i,..2,"(1/2,y,y+1/2)"
24,h,2..,"(x,1/4,3/4)"
12,g,2.m m,"(x,1/4,1/4)"
12,f,2.2 2,"(1/2,1/4,3/4)"
8,e,.3m,"(x,x,x)"
6,d,-42. m,"(1/4,3/4,3/4)"
4,c,.-3m,"(1/2,1/2,1/2)"
4,b,.-3m,"(0,0,0)"
2,a,-43m,"(1/4,1/4,1/4)"
