multiplicity,wyckoff_letter,site_symmetry,coordinates
16,j,1,"(x,y,z)"
8,i,..m,"(x,x,z)"
8,h,..2,"(x,-x,0)"
8,g,..2,"(x,-x,1/2)"
8,f,2..,"(3/4,1/4,z)"
4,e,2.m m,"(1/4,1/4,z)"
4,d,..2/m,"(0,0,0)"
4,c,..2/m,"(0,0,1/2)"
4,b,-4..,"(3/4,1/4,3/4)"
4,a,2.2 2,"(3/4,1/4,0)"
