multiplicity,wyckoff_letter,site_symmetry,coordinates
8,d,1,"(x,y,z)"
4,c,2..,"(0,1/2,z)"
2,b,4..,"(1/2,1/2,z)"
2,a,4..,"(0,0,z)"
