multiplicity,wyckoff_letter,site_symmetry,coordinates
6,d,1,"(x,y,z)"
2,c,3..,"(2/3,1/3,z)"
2,b,3..,"(1/3,2/3,z)"
2,a,3..,"(0,0,z)"
