multiplicity,wyckoff_letter,site_symmetry,coordinates
16,m,1,"(x,y,z)"
8,l,..m,"(x,y,0)"
8,k,..2,"(1/4,1/4,z)"
8,j,..2,"(0,1/2,z)"
8,i,..2,"(0,0,z)"
8,h,.2.,"(0,y,1/4)"
8,g,2..,"(x,0,1/4)"
4,f,..2/m,"(1/4,3/4,0)"
4,e,..2/m,"(1/4,1/4,0)"
4,d,..2/m,"(0,1/2,0)"
4,c,..2/m,"(0,0,0)"
4,b,222,"(0,1/2,1/4)"
4,a,222,"(0,0,1/4)"
