multiplicity,wyckoff_letter,site_symmetry,coordinates
96,i,1,"(x,y,z)"
48,h,m..,"(0,y,z)"
48,g,2..,"(x,1/4,1/4)"
32,f,.3.,"(x,x,x)"
24,e,mm2 . .,"(x,0,0)"
24,d,2/m..,"(0,1/4,1/4)"
8,c,23.,"(1/4,1/4,1/4)"
4,b,m-3.,"(1/2,1/2,1/2)"
4,a,m-3.,"(0,0,0)"
