multiplicity,wyckoff_letter,site_symmetry,coordinates
4,h,1,"(x,y,z)"
2,g,2..,"(0,1/2,z)"
2,f,2..,"(1/2,1/2,z)"
2,e,2..,"(0,0,z)"
1,d,-4..,"(1/2,1/2,1/2)"
1,c,-4..,"(1/2,1/2,0)"
1,b,-4..,"(0,0,1/2)"
1,a,-4..,"(0,0,0)"
