multiplicity,wyckoff_letter,site_symmetry,coordinates
8,f,1,"(x,y,z)"
4,e,2,"(0,y,1/4)"
4,d,-1,"(1/4,1/4,1/2)"
4,c,-1,"(1/4,1/4,0)"
4,b,-1,"(0,1/2,0)"
4,a,-1,"(0,0,0)"
