multiplicity,wyckoff_letter,site_symmetry,coordinates
36,i,1,"(x,y,z)"
18,h,.m,"(x,-x,z)"
18,g,.2,"(x,0,1/2)"
18,f,.2,"(x,0,0)"
9,e,.2/m,"(1/2,0,0)"
9,d,.2/m,"(1/2,0,1/2)"
6,c,3m,"(0,0,z)"
3,b,-3m,"(0,0,1/2)"
3,a,-3m,"(0,0,0)"
