multiplicity,wyckoff_letter,site_symmetry,coordinates
12,l,1,"(x,y,z)"
6,k,m..,"(x,y,1/2)"
6,j,m..,"(x,y,0)"
6,i,..m,"(x,0,z)"
4,h,3..,"(1/3,2/3,z)"
3,g,m2m,"(x,0,1/2)"
3,f,m2m,"(x,0,0)"
2,e,3.m,"(0,0,z)"
2,d,-6..,"(1/3,2/3,1/2)"
2,c,-6..,"(1/3,2/3,0)"
1,b,-62m,"(0,0,1/2)"
1,a,-62m,"(0,0,0)"
