multiplicity,wyckoff_letter,site_symmetry,coordinates
32,m,1,"(x,y,z)"
16,l,..m,"(x,x+1/2,z)"
16,k,m..,"(x,y,0)"
16,j,.2.,"(x,0,1/4)"
16,i,..2,"(x,x,1/4)"
8,h,m.2 m,"(x,x+1/2,0)"
8,g,2.m m,"(0,1/2,z)"
8,f,4..,"(0,0,z)"
8,e,..2/m,"(1/4,1/4,1/4)"
4,d,m.m m,"(0,1/2,0)"
4,c,4/m..,"(0,0,0)"
4,b,-42m,"(0,1/2,1/4)"
4,a,422,"(0,0,1/4)"
