multiplicity,wyckoff_letter,site_symmetry,coordinates
4,o,1,"(x,y,z)"
2,n,m,"(x,1/2,z)"
2,m,m,"(x,0,z)"
2,l,2,"(1/2,y,1/2)"
2,k,2,"(0,y,1/2)"
2,j,2,"(1/2,y,0)"
2,i,2,"(0,y,0)"
1,h,2/m,"(1/2,1/2,1/2)"
1,g,2/m,"(1/2,0,1/2)"
1,f,2/m,"(0,1/2,1/2)"
1,e,2/m,"(1/2,1/2,0)"
1,d,2/m,"(1/2,0,0)"
1,c,2/m,"(0,0,1/2)"
1,b,2/m,"(0,1/2,0)"
1,a,2/m,"(0,0,0)"
