multiplicity,wyckoff_letter,site_symmetry,coordinates
48,h,1,"(x,y,z)"
24,g,2..,"(x,1/4,1/4)"
24,f,2..,"(x,0,0)"
16,e,.3.,"(x,x,x)"
4,d,23.,"(3/4,3/4,3/4)"
4,c,23.,"(1/4,1/4,1/4)"
4,b,23.,"(1/2,1/2,1/2)"
4,a,23.,"(0,0,0)"
