multiplicity,wyckoff_letter,site_symmetry,coordinates
96,g,1,"(x,y,z)"
48,f,2..,"(x,1/8,1/8)"
32,e,.3.,"(x,x,x)"
16,d,.-3.,"(1/2,1/2,1/2)"
16,c,.-3.,"(0,0,0)"
8,b,23.,"(5/8,5/8,5/8)"
8,a,23.,"(1/8,1/8,1/8)"
