multiplicity,wyckoff_letter,site_symmetry,coordinates
8,g,1,"(x,y,z)"
4,f,.m.,"(x,1/4,z)"
4,e,m..,"(1/4,y,z)"
4,d,-1,"(0,0,1/2)"
4,c,-1,"(0,0,0)"
2,b,mm2,"(1/4,3/4,z)"
2,a,mm2,"(1/4,1/4,z)"
