multiplicity,wyckoff_letter,site_symmetry,coordinates
8,d,1,"(x,y,z)"
4,c,..m,"(x,x+1/2,z)"
2,b,2.m m,"(1/2,0,z)"
2,a,4..,"(0,0,z)"
