multiplicity,wyckoff_letter,site_symmetry,coordinates
8,n,1,"(x,y,z)"
4,m,2..,"(0,1/2,z)"
4,l,2..,"(1/2,1/2,z)"
4,k,2..,"(0,0,z)"
4,j,.2.,"(0,y,1/4)"
4,i,.2.,"(x,1/2,1/4)"
4,h,.2.,"(1/2,y,1/4)"
4,g,.2.,"(x,0,1/4)"
2,f,-4..,"(1/2,1/2,0)"
2,e,-4..,"(0,0,0)"
2,d,222 .,"(0,1/2,1/4)"
2,c,222 .,"(1/2,1/2,1/4)"
2,b,222 .,"(1/2,0,1/4)"
2,a,222 .,"(0,0,1/4)"
