multiplicity,wyckoff_letter,site_symmetry,coordinates
16,g,1,"(x,y,z)"
8,f,m..,"(0,y,z)"
8,e,.2.,"(1/4,y,1/4)"
8,d,2..,"(x,0,0)"
8,c,-1,"(1/4,1/4,0)"
4,b,2/m..,"(1/2,0,0)"
4,a,2/m..,"(0,0,0)"
