multiplicity,wyckoff_letter,site_symmetry,coordinates
24,h,1,"(x,y,z)"
12,g,2..,"(x,3/4,1/4)"
12,f,2..,"(x,1/4,1/4)"
8,e,.3.,"(x,x,x)"
6,d,222 . .,"(1/4,3/4,3/4)"
4,c,.-3.,"(1/2,1/2,1/2)"
4,b,.-3.,"(0,0,0)"
2,a,23.,"(1/4,1/4,1/4)"
