multiplicity,wyckoff_letter,site_symmetry,coordinates
8,k,1,"(x,y,z)"
4,j,m..,"(x,y,0)"
4,i,2..,"(0,1/2,z)"
4,h,2..,"(1/2,1/2,z)"
4,g,2..,"(0,0,z)"
2,f,-4..,"(1/2,1/2,1/4)"
2,e,-4..,"(0,0,1/4)"
2,d,2/m..,"(0,1/2,1/2)"
2,c,2/m..,"(0,1/2,0)"
2,b,2/m..,"(1/2,1/2,0)"
2,a,2/m..,"(0,0,0)"
