multiplicity,wyckoff_letter,site_symmetry,coordinates
8,l,1,"(x,y,z)"
4,k,.m.,"(x,1/2,z)"
4,j,.m.,"(x,0,z)"
4,i,..2,"(x,x,1/2)"
4,h,..2,"(x,x,0)"
2,g,2mm .,"(0,1/2,z)"
2,f,2mm .,"(1/2,1/2,z)"
2,e,2mm .,"(0,0,z)"
1,d,-4m2,"(0,0,1/2)"
1,c,-4m2,"(1/2,1/2,1/2)"
1,b,-4m2,"(1/2,1/2,0)"
1,a,-4m2,"(0,0,0)"
