multiplicity,wyckoff_letter,site_symmetry,coordinates
8,d,1,"(x,y,z)"
4,c,..2,"(0,1/4,z)"
4,b,.2.,"(1/4,y,0)"
4,a,2..,"(x,0,1/4)"
