multiplicity,wyckoff_letter,site_symmetry,coordinates
16,o,1,"(x,y,z)"
8,n,..m,"(x,y,0)"
8,m,.m.,"(x,0,z)"
8,l,m..,"(0,y,z)"
8,k,-1,"(1/4,1/4,1/4)"
4,j,mm2,"(1/2,0,z)"
4,i,mm2,"(0,0,z)"
4,h,m2m,"(0,y,1/2)"
4,g,m2m,"(0,y,0)"
4,f,2mm,"(x,1/2,0)"
4,e,2mm,"(x,0,0)"
2,d,mmm,"(1/2,0,1/2)"
2,c,mmm,"(1/2,1/2,0)"
2,b,mmm,"(0,1/2,1/2)"
2,a,mmm,"(0,0,0)"
