multiplicity,wyckoff_letter,site_symmetry,coordinates
6,l,1,"(x,y,z)"
3,k,m..,"(x,y,1/2)"
3,j,m..,"(x,y,0)"
2,i,3..,"(2/3,1/3,z)"
2,h,3..,"(1/3,2/3,z)"
2,g,3..,"(0,0,z)"
1,f,-6..,"(2/3,1/3,1/2)"
1,e,-6..,"(2/3,1/3,0)"
1,d,-6..,"(1/3,2/3,1/2)"
1,c,-6..,"(1/3,2/3,0)"
1,b,-6..,"(0,0,1/2)"
1,a,-6..,"(0,0,0)"
