multiplicity,wyckoff_letter,site_symmetry,coordinates
16,g,1,"(x,y,z)"
8,f,.2.,"(x,1/4,1/8)"
8,e,..2,"(-x,x,0)"
8,d,..2,"(x,x,0)"
8,c,2..,"(0,0,z)"
4,b,2.2 2,"(0,0,1/2)"
4,a,2.2 2,"(0,0,0)"
