multiplicity,wyckoff_letter,site_symmetry,coordinates
24,d,1,"(x,y,z)"
8,c,.3.,"(x,x,x)"
4,b,.-3.,"(1/2,1/2,1/2)"
4,a,.-3.,"(0,0,0)"
